ARMS RACE MECHANICS -- TECH LIST GENERATION REPORT
============================================================

Total techs parsed:    901
Successfully mapped:   756
Unmapped (unknown):    86

BRANCH SUMMARY
----------------------------------------
  air                             107 techs
  industry_electronics            184 techs
  land                            314 techs
  naval                           151 techs

CATEGORY DETAIL
------------------------------------------------------------

  [air / cas] -- 14 techs
    1922  early_bombs
          [from: extended_tech_tree_1960]
    1936  CAS1
    1936  cv_CAS1
    1936  armor_piercing_bombs
          [from: extended_tech_tree_1960]
    1936  air_torpedoe_1
          [from: extended_tech_tree_1960]
    1940  CAS2
    1940  cv_CAS2
    1940  heavy_bombs
          [from: extended_tech_tree_1960]
    1940  air_torpedoe_2
          [from: extended_tech_tree_1960]
    1944  CAS3
    1944  cv_CAS3
    1944  air_torpedoe_3
          [from: extended_tech_tree_1960]
    1947  imp_bomb_rack
          [from: extended_tech_tree_1960]
    1950  bomb_pods
          [from: extended_tech_tree_1960]

  [air / fighters] -- 38 techs
    1922  aa_lmg
          [from: extended_tech_tree_1960]
    1922  engines_1
          [from: extended_tech_tree_1960]
    1926  iw_small_airframe
          [from: extended_tech_tree_1960]
    1933  early_fighter
    1933  cv_early_fighter
    1936  fighter1
    1936  cv_fighter1
    1936  scout_plane1
    1936  basic_small_airframe
          [from: extended_tech_tree_1960]
    1936  survivability_studies
          [from: extended_tech_tree_1960]
    1936  aa_hmg
          [from: extended_tech_tree_1960]
    1936  aa_cannon_1
          [from: extended_tech_tree_1960]
    1936  engines_2
          [from: extended_tech_tree_1960]
    1936  range_improvements
          [from: extended_tech_tree_1960]
    1940  fighter2
    1940  cv_fighter2
    1940  scout_plane2
    1940  improved_small_airframe
          [from: extended_tech_tree_1960]
    1940  aa_cannon_2
          [from: extended_tech_tree_1960]
    1940  engines_3
          [from: extended_tech_tree_1960]
    1943  advanced_small_airframe
          [from: extended_tech_tree_1960]
    1943  aa_hmg_2
          [from: extended_tech_tree_1960]
    1943  aa_cannon_3
          [from: extended_tech_tree_1960]
    1943  engines_4
          [from: extended_tech_tree_1960]
    1944  fighter3
    1944  cv_fighter3
    1945  jet_fighter1
    1945  modern_small_airframe
          [from: extended_tech_tree_1960]
    1947  aa_cannon_4
          [from: extended_tech_tree_1960]
    1947  modern_small_airframe_2
          [from: extended_tech_tree_1960]
    1950  jet_fighter2
    1950  supersonic_fighter1
    1950  modern_small_airframe_3
          [from: extended_tech_tree_1960]
    1950  supersonic_small_airframe
          [from: extended_tech_tree_1960]
    1955  modern_small_airframe_4
          [from: extended_tech_tree_1960]
    1960  modern_small_airframe_5
          [from: extended_tech_tree_1960]
    1960  jump_jet_1
          [from: extended_tech_tree_1960]
    1960  aa_cannon_5
          [from: extended_tech_tree_1960]

  [air / heavy_fighters] -- 12 techs
    1926  iw_medium_airframe
          [from: extended_tech_tree_1960]
    1936  heavy_fighter1
    1936  basic_medium_airframe
          [from: extended_tech_tree_1960]
    1940  heavy_fighter2
    1940  improved_medium_airframe
          [from: extended_tech_tree_1960]
    1943  advanced_medium_airframe
          [from: extended_tech_tree_1960]
    1944  heavy_fighter3
    1945  modern_medium_airframe
          [from: extended_tech_tree_1960]
    1947  modern_medium_airframe_2
          [from: extended_tech_tree_1960]
    1950  modern_medium_airframe_3
          [from: extended_tech_tree_1960]
    1955  modern_medium_airframe_4
          [from: extended_tech_tree_1960]
    1960  modern_medium_airframe_5
          [from: extended_tech_tree_1960]

  [air / naval_bombers] -- 6 techs
    1936  naval_bomber1
    1936  cv_naval_bomber1
    1940  naval_bomber2
    1940  cv_naval_bomber2
    1944  naval_bomber3
    1944  cv_naval_bomber3

  [air / strategic_bombers] -- 21 techs
    1926  iw_large_airframe
          [from: extended_tech_tree_1960]
    1936  strategic_bomber1
    1936  basic_large_airframe
          [from: extended_tech_tree_1960]
    1936  mothership_aircraft_tech_0
          [from: extended_tech_tree_1960]
    1938  reinforced_wings_mothership
          [from: extended_tech_tree_1960]
    1940  strategic_bomber2
    1940  improved_large_airframe
          [from: extended_tech_tree_1960]
    1942  mothership_aircraft_tech_1
          [from: extended_tech_tree_1960]
    1943  advanced_large_airframe
          [from: extended_tech_tree_1960]
    1944  strategic_bomber3
    1944  miniature_fighters
          [from: extended_tech_tree_1960]
    1945  modern_large_airframe
          [from: extended_tech_tree_1960]
    1946  mothership_aircraft_tech_2
          [from: extended_tech_tree_1960]
    1947  modern_large_airframe_2
          [from: extended_tech_tree_1960]
    1949  advanced_parasite_fighter
          [from: extended_tech_tree_1960]
    1950  jet_strategic_bomber1
    1950  modern_large_airframe_3
          [from: extended_tech_tree_1960]
    1952  mothership_aircraft_tech_3
          [from: extended_tech_tree_1960]
    1955  modern_large_airframe_4
          [from: extended_tech_tree_1960]
    1957  aerial_hangars
          [from: extended_tech_tree_1960]
    1960  modern_large_airframe_5
          [from: extended_tech_tree_1960]

  [air / tactical_bombers] -- 6 techs
    1933  early_bomber
    1936  tactical_bomber1
    1940  tactical_bomber2
    1944  tactical_bomber3
    1945  jet_tactical_bomber1
    1950  jet_tactical_bomber2

  [air / transport] -- 10 techs
    1933  early_transport_plane
    1933  bba_early_transport_plane
          [from: extended_tech_tree_1960]
    1936  bba_improved_transport_plane
          [from: extended_tech_tree_1960]
    1940  improved_transport_plane
    1942  bba_strategic_airlifter
          [from: extended_tech_tree_1960]
    1945  transport_plane_4
          [from: extended_tech_tree_1960]
    1948  strategic_airlifter
    1950  transport_plane_5
          [from: extended_tech_tree_1960]
    1955  transport_plane_6
          [from: extended_tech_tree_1960]
    1960  transport_plane_7
          [from: extended_tech_tree_1960]

  [industry_electronics / electronics] -- 25 techs
    1936  electronic_mechanical_engineering
          [from: extended_tech_tree_1960]
    1936  radio
          [from: extended_tech_tree_1960]
    1936  mechanical_computing
          [from: extended_tech_tree_1960]
    1936  basic_fire_control_system
          [from: extended_tech_tree_1960]
    1936  improved_fire_control_system
          [from: extended_tech_tree_1960]
    1936  advanced_fire_control_system
          [from: extended_tech_tree_1960]
    1938  improved_radio
          [from: extended_tech_tree_1960]
    1938  computing_machine
          [from: extended_tech_tree_1960]
    1938  basic_encryption
          [from: extended_tech_tree_1960]
    1938  basic_decryption
          [from: extended_tech_tree_1960]
    1940  improved_computing_machine
          [from: extended_tech_tree_1960]
    1940  improved_encryption
          [from: extended_tech_tree_1960]
    1940  improved_decryption
          [from: extended_tech_tree_1960]
    1941  advanced_radio
          [from: extended_tech_tree_1960]
    1942  advanced_computing_machine
          [from: extended_tech_tree_1960]
    1942  advanced_encryption
          [from: extended_tech_tree_1960]
    1942  advanced_decryption
          [from: extended_tech_tree_1960]
    1944  fire_control_radar
          [from: extended_tech_tree_1960]
    1944  anti_ship_missile_1
          [from: extended_tech_tree_1960]
    1947  postwar_computing_tech1
          [from: extended_tech_tree_1960]
    1950  fire_control_radar_1
          [from: extended_tech_tree_1960]
    1950  postwar_computing_tech2
          [from: extended_tech_tree_1960]
    1955  postwar_computing_tech3
          [from: extended_tech_tree_1960]
    1960  fire_control_radar_2
          [from: extended_tech_tree_1960]
    1960  postwar_computing_tech4
