ARMS RACE MECHANICS -- TECH LIST GENERATION REPORT
============================================================

Total techs parsed:    1507
Successfully mapped:   1394
Unmapped (unknown):    76

BRANCH SUMMARY
----------------------------------------
  air                              73 techs
  industry_electronics             75 techs
  land                           1147 techs
  naval                            99 techs

CATEGORY DETAIL
------------------------------------------------------------

  [air / cas] -- 12 techs
    1922  early_bombs
    1936  CAS1
    1936  cv_CAS1
    1936  armor_piercing_bombs
    1936  air_torpedoe_1
    1940  CAS2
    1940  cv_CAS2
    1940  heavy_bombs
    1940  air_torpedoe_2
    1944  CAS3
    1944  cv_CAS3
    1944  air_torpedoe_3

  [air / fighters] -- 27 techs
    1922  aa_lmg
    1922  engines_1
    1926  iw_small_airframe
    1933  cv_early_fighter
    1936  fighter1
    1936  cv_fighter1
    1936  scout_plane1
    1936  basic_small_airframe
    1936  range_improvements
    1936  aircraft_construction
    1939  survivability_studies
    1939  aa_hmg
    1939  aa_cannon_1
    1940  fighter2
    1940  cv_fighter2
    1940  scout_plane2
    1940  improved_small_airframe
    1943  aa_cannon_2
    1944  fighter3
    1944  cv_fighter3
    1944  advanced_small_airframe
    1945  jet_fighter1
    1945  modern_small_airframe
    1945  aa_cannon_3
    1950  jet_fighter2
    1950  supersonic_fighter1
    1950  supersonic_small_airframe

  [air / heavy_fighters] -- 8 techs
    1926  iw_medium_airframe
    1936  heavy_fighter1
    1936  basic_medium_airframe
    1940  heavy_fighter2
    1940  improved_medium_airframe
    1944  heavy_fighter3
    1944  advanced_medium_airframe
    1945  modern_medium_airframe

  [air / naval_bombers] -- 6 techs
    1936  naval_bomber1
    1936  cv_naval_bomber1
    1940  naval_bomber2
    1940  cv_naval_bomber2
    1944  naval_bomber3
    1944  cv_naval_bomber3

  [air / strategic_bombers] -- 9 techs
    1926  iw_large_airframe
    1936  basic_large_airframe
    1940  improved_large_airframe
    1942  reinforced_wings_mothership
    1944  advanced_large_airframe
    1944  miniature_fighters
    1945  modern_large_airframe
    1946  aerial_hangars
    1950  jet_strategic_bomber1

  [air / tactical_bombers] -- 5 techs
    1936  tactical_bomber1
    1940  tactical_bomber2
    1944  tactical_bomber3
    1945  jet_tactical_bomber1
    1950  jet_tactical_bomber2

  [air / transport] -- 6 techs
    1933  early_transport_plane
    1933  bba_early_transport_plane
    1940  improved_transport_plane
    1940  bba_improved_transport_plane
    1945  bba_strategic_airlifter
