ARMS RACE MECHANICS -- TECH LIST GENERATION REPORT
============================================================

Total techs parsed:    876
Successfully mapped:   745
Unmapped (unknown):    122

BRANCH SUMMARY
----------------------------------------
  air                              91 techs
  industry_electronics            142 techs
  land                            348 techs
  naval                           164 techs

CATEGORY DETAIL
------------------------------------------------------------

  [air / cas] -- 16 techs
    1922  early_bombs
    1936  armor_piercing_bombs
    1936  air_torpedoe_1
    1940  heavy_bombs
    1940  air_torpedoe_2
    1944  CAS3
    1944  cv_CAS3
    1944  air_torpedoe_3
    1960  CAS1
          [from: novum_vexillum]
    1960  heli1
          [from: novum_vexillum]
    1960  iw_small_airframe
          [from: novum_vexillum]
    1960  iw_heli_airframe
          [from: novum_vexillum]
    1960  air_misc
          [from: novum_vexillum]
    1980  CAS2
          [from: novum_vexillum]
    2000  heli2
          [from: novum_vexillum]
    2000  basic_heli_airframe
          [from: novum_vexillum]

  [air / fighters] -- 23 techs
    1933  early_fighter
    1933  cv_early_fighter
    1936  scout_plane1
    1936  range_improvements
    1939  survivability_studies
    1939  aa_hmg
    1940  scout_plane2
    1940  improved_small_airframe
    1944  advanced_small_airframe
    1945  jet_fighter1
    1945  modern_small_airframe
    1950  jet_fighter2
    1950  supersonic_fighter1
    1950  supersonic_small_airframe
    1960  fighter1
          [from: novum_vexillum]
    1980  fighter2
          [from: novum_vexillum]
    1980  basic_small_airframe
          [from: novum_vexillum]
    2000  fighter3
          [from: novum_vexillum]
    2006  fighter4
          [from: novum_vexillum]
    2012  fighter5
          [from: novum_vexillum]
    2018  fighter6
          [from: novum_vexillum]
    2024  fighter7
          [from: novum_vexillum]
    2030  fighter8
          [from: novum_vexillum]

  [air / heavy_fighters] -- 11 techs
    1936  heavy_fighter1
    1940  heavy_fighter2
    1944  heavy_fighter3
    1960  iw_medium_airframe
          [from: novum_vexillum]
    1980  basic_medium_airframe
          [from: novum_vexillum]
    2000  improved_medium_airframe
          [from: novum_vexillum]
    2006  advanced_medium_airframe
          [from: novum_vexillum]
    2012  modern_medium_airframe
          [from: novum_vexillum]
    2018  more_modern_medium_airframe
          [from: novum_vexillum]
    2024  near_future_medium_airframe
          [from: novum_vexillum]
    2030  future_medium_airframe
          [from: novum_vexillum]

  [air / naval_bombers] -- 11 techs
    1960  naval_bomber1
          [from: novum_vexillum]
    1960  iw_naval_airframe
          [from: novum_vexillum]
    1980  naval_bomber2
          [from: novum_vexillum]
    1980  basic_naval_airframe
          [from: novum_vexillum]
    2000  naval_bomber3
          [from: novum_vexillum]
    2000  improved_naval_airframe
          [from: novum_vexillum]
    2006  naval_bomber4
          [from: novum_vexillum]
    2006  advanced_naval_airframe
          [from: novum_vexillum]
    2012  naval_bomber5
          [from: novum_vexillum]
    2012  modern_naval_airframe
          [from: novum_vexillum]
    2024  naval_bomber6
          [from: novum_vexillum]

  [air / strategic_bombers] -- 14 techs
    1942  reinforced_wings_mothership
    1944  miniature_fighters
    1946  aerial_hangars
    1950  jet_strategic_bomber1
    1960  strategic_bomber1
          [from: novum_vexillum]
    1960  iw_large_airframe
          [from: novum_vexillum]
    1980  strategic_bomber2
          [from: novum_vexillum]
    1980  basic_large_airframe
          [from: novum_vexillum]
    2006  strategic_bomber3
          [from: novum_vexillum]
    2006  improved_large_airframe
          [from: novum_vexillum]
    2018  strategic_bomber4
          [from: novum_vexillum]
    2018  advanced_large_airframe
          [from: novum_vexillum]
    2024  strategic_bomber5
          [from: novum_vexillum]
    2024  modern_large_airframe
          [from: novum_vexillum]

  [air / tactical_bombers] -- 10 techs
    1933  early_bomber
    1945  jet_tactical_bomber1
    1950  jet_tactical_bomber2
    2000  tactical_bomber1
          [from: novum_vexillum]
    2000  iw_uav_airframe
          [from: novum_vexillum]
    2006  tactical_bomber2
          [from: novum_vexillum]
    2006  basic_uav_airframe
          [from: novum_vexillum]
    2018  tactical_bomber3
          [from: novum_vexillum]
    2024  tactical_bomber4
          [from: novum_vexillum]
    2030  tactical_bomber5
          [from: novum_vexillum]

  [air / transport] -- 6 techs
    1933  early_transport_plane
    1933  bba_early_transport_plane
    1940  improved_transport_plane
    1940  bba_improved_transport_plane
    1945  bba_strategic_airlifter
    1948  strategic_airlifter

  [industry_electronics / electronics] -- 21 techs
    1936  basic_fire_control_system
          [from: novum_vexillum]
    1936  improved_fire_control_system
          [from: novum_vexillum]
    1936  advanced_fire_control_system
          [from: novum_vexillum]
    1936  near_future_fire_control_system
          [from: novum_vexillum]
    1936  future_fire_control_system
          [from: novum_vexillum]
    1938  improved_radio
    1938  basic_encryption
    1938  basic_decryption
    1940  improved_encryption
    1940  improved_decryption
    1941  advanced_radio
    1942  advanced_encryption
    1942  advanced_decryption
    1990  electronic_mechanical_engineering
          [from: novum_vexillum]
    2000  radio
          [from: novum_vexillum]
    2000  mechanical_computing
          [from: novum_vexillum]
    2002  computing_machine
          [from: novum_vexillum]
    2008  improved_computing_machine
          [from: novum_vexillum]
    2016  advanced_computing_machine
          [from: novum_vexillum]
    2024  near_future_computing_machine
          [from: novum_vexillum]
    2032  future_computing_machine
          [from: novum_vexillum]

  [industry_electronics / industry] -- 86 techs
    1936  basic_fortification_tech
    1936  coastal_fort_tech_1
    1936  excavation1
          [from: novum_vexillum]
    1938  land_fort_tech_1
    1940  land_fort_tech_2
    1940  coastal_fort_tech_2
    2000  basic_machine_tools
          [from: novum_vexillum]
    2000  factory_output_upgrade
          [from: novum_vexillum]
    2000  concentrated_industry
          [from: novum_vexillum]
    2000  dispersed_industry
          [from: novum_vexillum]
    2000  fuel_silos
          [from: novum_vexillum]
    2000  fuel_refining
          [from: novum_vexillum]
    2000  synth_oil_experiments
          [from: novum_vexillum]
    2000  recycling_center_initial
          [from: novum_vexillum]
    2000  construction1
          [from: novum_vexillum]
    2004  improved_machine_tools
          [from: novum_vexillum]
    2004  factory_output_upgrade2
          [from: novum_vexillum]
    2004  concentrated_industry2
          [from: novum_vexillum]
    2004  dispersed_industry2
          [from: novum_vexillum]
    2004  oil_processing
          [from: novum_vexillum]
    2004  recycling_center1a
          [from: novum_vexillum]
    2004  recycling_center1b
          [from: novum_vexillum]
    2004  construction2
          [from: novum_vexillum]
    2008  advanced_machine_tools
          [from: novum_vexillum]
    2008  improved_equipment_conversion
          [from: novum_vexillum]
    2008  factory_output_upgrade3
          [from: novum_vexillum]
    2008  concentrated_industry3
          [from: novum_vexillum]
    2008  dispersed_industry3
          [from: novum_vexillum]
    2008  fuel_refining2
          [from: novum_vexillum]
    2008  rubber_processing
          [from: novum_vexillum]
    2008  recycling_center_dod2
          [from: novum_vexillum]
    2008  construction3
          [from: novum_vexillum]
    2008  excavation2
          [from: novum_vexillum]
    2012  assembly_line_production
          [from: novum_vexillum]
    2012  factory_output_upgrade4
          [from: novum_vexillum]
    2012  concentrated_industry4
          [from: novum_vexillum]
    2012  dispersed_industry4
          [from: novum_vexillum]
    2012  improved_oil_processing
          [from: novum_vexillum]
    2012  recycling_center_dod3a
          [from: novum_vexillum]
    2012  recycling_center_dod3b
          [from: novum_vexillum]
    2012  construction4
          [from: novum_vexillum]
    2016  flexible_line
          [from: novum_vexillum]
    2016  streamlined_line
          [from: novum_vexillum]
    2016  factory_output_upgrade5
          [from: novum_vexillum]
    2016  concentrated_industry5
          [from: novum_vexillum]
    2016  dispersed_industry5
          [from: novum_vexillum]
    2016  fuel_refining3
          [from: novum_vexillum]
    2016  improved_rubber_processing
          [from: novum_vexillum]
    2016  recycling_center_dod4
          [from: novum_vexillum]
    2016  construction5
          [from: novum_vexillum]
    2016  excavation3
          [from: novum_vexillum]
    2020  industrial_software
          [from: novum_vexillum]
    2020  factory_output_upgrade6
          [from: novum_vexillum]
    2020  concentrated_industry6
          [from: novum_vexillum]
    2020  dispersed_industry6
          [from: novum_vexillum]
    2020  advanced_oil_processing
          [from: novum_vexillum]
    2020  recycling_center_dod5a
          [from: novum_vexillum]
    2020  recycling_center_dod5b
          [from: novum_vexillum]
    2020  construction6
          [from: novum_vexillum]
    2024  industrial_software2
          [from: novum_vexillum]
    2024  advanced_equipment_conversion
          [from: novum_vexillum]
    2024  factory_output_upgrade7
          [from: novum_vexillum]
    2024  concentrated_industry7
          [from: novum_vexillum]
    2024  dispersed_industry7
          [from: novum_vexillum]
    2024  fuel_refining4
          [from: novum_vexillum]
    2024  advanced_rubber_processing
          [from: novum_vexillum]
    2024  recycling_center_dod6
          [from: novum_vexillum]
    2024  construction7
          [from: novum_vexillum]
    2024  excavation4
          [from: novum_vexillum]
    2028  industrial_software3
          [from: novum_vexillum]
    2028  factory_output_upgrade8
          [from: novum_vexillum]
    2028  concentrated_industry8
          [from: novum_vexillum]
    2028  dispersed_industry8
          [from: novum_vexillum]
    2028  modern_oil_processing
          [from: novum_vexillum]
    2028  recycling_center_dod7a
          [from: novum_vexillum]
    2028  recycling_center_dod7b
          [from: novum_vexillum]
    2028  construction8
          [from: novum_vexillum]
    2032  industrial_software4a
          [from: novum_vexillum]
    2032  industrial_software4b
          [from: novum_vexillum]
    2032  factory_output_upgrade9
          [from: novum_vexillum]
    2032  concentrated_industry9
          [from: novum_vexillum]
    2032  dispersed_industry9
          [from: novum_vexillum]
    2032  fuel_refining5
          [from: novum_vexillum]
    2032  modern_rubber_processing
          [from: novum_vexillum]
    2032  construction9
          [from: novum_vexillum]
    2032  excavation5
          [from: novum_vexillum]

  [industry_electronics / nuclear] -- 7 techs
