ARMS RACE MECHANICS -- TECH LIST GENERATION REPORT
============================================================

Total techs parsed:    1318
Successfully mapped:   1102
Unmapped (unknown):    178

BRANCH SUMMARY
----------------------------------------
  air                             107 techs
  industry_electronics            183 techs
  land                            683 techs
  naval                           129 techs

CATEGORY DETAIL
------------------------------------------------------------

  [air / cas] -- 12 techs
    1922  early_bombs
    1936  CAS1
    1936  cv_CAS1
    1936  armor_piercing_bombs
    1936  air_torpedoe_1
    1940  CAS2
    1940  cv_CAS2
    1940  heavy_bombs
    1940  air_torpedoe_2
    1944  CAS3
    1944  cv_CAS3
    1944  air_torpedoe_3

  [air / fighters] -- 45 techs
    1922  aa_lmg
    1922  engines_1
    1926  iw_small_airframe
    1933  cv_early_fighter
    1936  fighter1
    1936  cv_fighter1
    1936  scout_plane1
    1936  basic_small_airframe
    1936  engines_2
    1936  range_improvements
    1936  aircraft_construction
    1936  early_fighter
          [from: the_new_order]
    1939  survivability_studies
    1939  aa_hmg
    1939  aa_cannon_1
    1940  fighter2
    1940  cv_fighter2
    1940  scout_plane2
    1940  improved_small_airframe
    1940  engines_3
    1943  aa_cannon_2
    1944  fighter3
    1944  cv_fighter3
    1944  advanced_small_airframe
    1944  engines_4
    1945  jet_fighter1
    1945  modern_small_airframe
    1945  aa_cannon_3
    1945  fighter_1945
          [from: the_new_order]
    1945  cv_1945_fighter
          [from: the_new_order]
    1945  interceptor_1945
          [from: the_new_order]
    1950  jet_fighter2
    1950  supersonic_fighter1
    1950  supersonic_small_airframe
    1950  cv_1950_fighter
          [from: the_new_order]
    1950  fighter_1950
          [from: the_new_order]
    1950  interceptor_1950
          [from: the_new_order]
    1960  fighter_1960
          [from: the_new_order]
    1960  cv_1960_fighter
          [from: the_new_order]
    1960  interceptor_1960
          [from: the_new_order]
    1970  fighter_1970
          [from: the_new_order]
    1970  cv_1970_fighter
          [from: the_new_order]
    1970  interceptor_1970
          [from: the_new_order]
    1980  interceptor_1980
          [from: the_new_order]
    1990  interceptor_1990
          [from: the_new_order]

  [air / heavy_fighters] -- 8 techs
    1926  iw_medium_airframe
    1936  heavy_fighter1
    1936  basic_medium_airframe
    1940  heavy_fighter2
    1940  improved_medium_airframe
    1944  heavy_fighter3
    1944  advanced_medium_airframe
    1945  modern_medium_airframe

  [air / naval_bombers] -- 6 techs
    1936  naval_bomber1
    1936  cv_naval_bomber1
    1940  naval_bomber2
    1940  cv_naval_bomber2
    1944  naval_bomber3
    1944  cv_naval_bomber3

  [air / strategic_bombers] -- 17 techs
    1926  iw_large_airframe
    1936  basic_large_airframe
    1936  strategic_bomber1
          [from: the_new_order]
    1940  strategic_bomber2
    1940  improved_large_airframe
    1942  reinforced_wings_mothership
    1944  strategic_bomber3
    1944  advanced_large_airframe
    1944  miniature_fighters
    1945  modern_large_airframe
    1946  aerial_hangars
    1950  jet_strategic_bomber1
    1950  heavy_air_1950
          [from: the_new_order]
    1960  heavy_air_1960
          [from: the_new_order]
    1970  heavy_air_1970
          [from: the_new_order]
    1980  heavy_air_1980
          [from: the_new_order]
    1990  heavy_air_1990
          [from: the_new_order]

  [air / tactical_bombers] -- 13 techs
    1933  early_bomber
    1936  tactical_bomber1
    1936  tac_bomber1
          [from: the_new_order]
    1940  tactical_bomber2
    1944  tactical_bomber3
    1945  jet_tactical_bomber1
    1945  tac_air_1945
          [from: the_new_order]
    1950  jet_tactical_bomber2
    1950  tac_air_1950
          [from: the_new_order]
    1960  tac_air_1960
          [from: the_new_order]
    1970  tac_air_1970
          [from: the_new_order]
    1980  tac_air_1980
          [from: the_new_order]
    1990  tac_air_1990
          [from: the_new_order]

  [air / transport] -- 6 techs
    1933  early_transport_plane
    1933  bba_early_transport_plane
    1940  improved_transport_plane
    1940  bba_improved_transport_plane
    1945  bba_strategic_airlifter
    1948  strategic_airlifter

  [industry_electronics / electronics] -- 31 techs
    1936  basic_fire_control_system
          [from: the_new_order]
    1936  improved_fire_control_system
          [from: the_new_order]
    1936  advanced_fire_control_system
          [from: the_new_order]
    1936  electronic_mechanical_engineering
          [from: the_new_order]
    1936  mechanical_computing
          [from: the_new_order]
    1938  improved_radio
    1938  computing_machine
          [from: the_new_order]
    1938  basic_encryption
          [from: the_new_order]
    1938  basic_decryption
          [from: the_new_order]
    1940  improved_computing_machine
          [from: the_new_order]
    1940  improved_encryption
          [from: the_new_order]
    1940  improved_decryption
          [from: the_new_order]
    1941  advanced_radio
    1942  advanced_encryption
          [from: the_new_order]
    1942  advanced_decryption
          [from: the_new_order]
    1945  advanced_computing_machine
          [from: the_new_order]
    1950  computing_machine_1950
          [from: the_new_order]
    1950  encryption_1950
          [from: the_new_order]
    1950  decryption_1950
          [from: the_new_order]
    1960  computing_machine_1960
          [from: the_new_order]
    1960  encryption_1960
          [from: the_new_order]
    1960  decryption_1960
          [from: the_new_order]
    1970  computing_machine_1970
          [from: the_new_order]
    1970  encryption_1970
          [from: the_new_order]
    1970  decryption_1970
          [from: the_new_order]
    1980  computing_machine_1980
          [from: the_new_order]
    1980  encryption_1980
          [from: the_new_order]
    1980  decryption_1980
          [from: the_new_order]
    1990  computing_machine_1990
          [from: the_new_order]
    1990  encryption_1990
          [from: the_new_order]
    1990  decryption_1990
          [from: the_new_order]

  [industry_electronics / industry] -- 108 techs
    1936  basic_fortification_tech
    1936  coastal_fort_tech_1
    1936  basic_machine_tools
    1936  concentrated_industry
    1936  dispersed_industry
    1936  fuel_silos
    1936  fuel_refining
    1936  synth_oil_experiments
    1936  construction1
    1937  improved_machine_tools
    1937  improved_equipment_conversion
    1937  concentrated_industry2
    1937  dispersed_industry2
    1937  fuel_refining2
    1937  construction2
    1938  land_fort_tech_1
    1939  advanced_machine_tools
    1939  advanced_equipment_conversion
    1939  concentrated_industry3
    1939  dispersed_industry3
    1939  fuel_refining3
    1939  construction3
    1940  land_fort_tech_2
    1940  coastal_fort_tech_2
    1941  assembly_line_production
    1941  concentrated_industry4
    1941  dispersed_industry4
    1941  fuel_refining4
    1941  construction4
    1943  flexible_line
    1943  streamlined_line
    1943  concentrated_industry5
    1943  dispersed_industry5
    1943  fuel_refining5
    1943  construction5
    1950  ww2_line_production
          [from: the_new_order]
    1950  building_construction_1
          [from: the_new_order]
    1950  production_unit_gain_1
          [from: the_new_order]
    1950  consumer_goods_reduction_1
          [from: the_new_order]
    1950  brutalist_city
          [from: the_new_order]
    1955  batch_production_1
          [from: the_new_order]
    1955  mass_production_1
          [from: the_new_order]
    1955  energy_technology_1
          [from: the_new_order]
    1955  nuclear_technology_1
          [from: the_new_order]
    1955  social_construction_1
          [from: the_new_order]
    1955  military_construction_1
          [from: the_new_order]
    1955  administration_construction_1
          [from: the_new_order]
    1955  production_unit_gain_2
          [from: the_new_order]
    1955  consumer_goods_reduction_2
          [from: the_new_order]
    1960  batch_production_2
          [from: the_new_order]
    1960  mass_production_2
          [from: the_new_order]
    1960  oil_processing
          [from: the_new_order]
    1960  rubber_processing
          [from: the_new_order]
    1960  education_construction_1
          [from: the_new_order]
    1960  health_construction_1
          [from: the_new_order]
    1960  prison_construction_1
